,name,def_abil
112,Magnemite,
113,Magneton,
114,Magnezone,
115,Farfetch'd,
116,Doduo,
117,Dodrio,
118,Seel,Thick Fat
119,Dewgong,Thick Fat
120,Grimer,
121,Alolan Grimer,
122,Muk,
123,Alolan Muk,
124,Shellder,
125,Cloyster,
126,Gastly,Levitate
127,Haunter,Levitate
128,Venusa,
129,Mega Gengar,
130,Onix,
131,Steelix,
132,Mega Steelix,
133,Drowzee,
134,Hypno,
135,Krabby,
136,Kingler,
137,Voltorb,
138,Electrode,
139,Exeggcute,
140,Exeggutor,
141,Alolan Exeggutor,
142,Cubone,Lightning Rod
143,Marowak,Lightning Rod
144,Alolan Marowak,Lightning Rod
145,Tyrogue,
146,Hitmonlee,
147,Hitmonchan,
148,Hitmontop,
149,Lickitung,
150,Lickilicky,
151,Koffing,Levitate
152,Weezing,Levitate
153,Rhyhorn,Lightning Rod
154,Rhydon,Lightning Rod
155,Rhyperior,Solid Rock
156,Happiny,
157,Chansey,
158,Blissey,
159,Tangela,
160,Tangrowth,
161,Kangaskhan,
162,Mega Kangaskhan,
163,Horsea,
164,Seadra,
165,Kingdra,
166,Goldeen,Lightning Rod
167,Seaking,Lightning Rod
168,Staryu,
169,Starmie,
170,Mime Jr.,
171,Mr. Mime,
172,Scyther,
173,Scizor,
174,Mega Scizor,
175,Smoochum,
176,Jynx,
177,Elekid,
178,Electabuzz,
179,Electivire,Motor Drive
180,Magby,
181,Magmar,
182,Magmortar,
183,Pinsir,
184,Mega Pinsir,
185,Tauros,
186,Magikarp,
187,Gyarados,
188,Mega Gyarados,
189,Lapras,Water Absorb
190,Ditto,
191,Eevee,
192,Vaporeon,Water Absorb
193,Jolteon,Volt Absorb
194,Flareon,Flash Fire
195,Espeon,
196,Umbreon,
197,Leafeon,
198,Glaceon,
199,Sylveon,
200,Porygon,
201,Porygon2,
202,Porygon-Z,
203,Omanyte,
204,Omastar,
205,Kabuto,
206,Kabutops,
207,Aerodactyl,
208,Mega Aerodactyl,
209,Munchlax,Thick Fat
210,Snorlax,Thick Fat
211,Articuno,
213,Moltres,
214,Dratini,
215,Dragonair,
216,Dragonite,
217,Mewtwo,
218,Mega Mewtwo X,
219,Mega Mewtwo Y,
220,Mew,
221,Chikorita,
222,Bayleef,
223,Meganium,
224,Cyndaquil,Flash Fire
225,Quilava,Flash Fire
226,Typhlosion,Flash Fire
227,Totodile,
228,Croconaw,
229,Feraligatr,
230,Sentret,
231,Furret,
232,Hoothoot,
233,Noctowl,
234,Ledyba,
235,Ledian,
236,Spinarak,
237,Ariados,
238,Chinchou,Water Absorb
239,Lanturn,Water Absorb
240,Togepi,
241,Togetic,
242,Togekiss,
243,Natu,
244,Xatu,
245,Mareep,
246,Flaaffy,
247,Ampharos,
248,Mega Ampharos,
249,Azurill,Sap Sipper
250,Marill,Sap Sipper
251,Azumarill,Sap Sipper
252,Bonsly,
253,Sudowoodo,
254,Hoppip,
255,Skiploom,
256,Jumpluff,
257,Aipom,
258,Ambipom,
259,Sunkern,
260,Sunflora,
261,Yanma,
262,Yanmega,
263,Wooper,Water Absorb
264,Quagsire,Water Absorb
265,Murkrow,
266,Honchkrow,
267,Misdreavus,Levitate
268,Mismagius,Levitate
269,Unown,Levitate
270,Wynaut,
271,Wobbuffet,
272,Girafarig,Sap Sipper
273,Pineco,
274,Forretress,
275,Dunsparce,
276,Gligar,
277,Gliscor,
278,Snubbull,
279,Granbull,
280,Qwilfish,
281,Shuckle,
282,Heracross,
283,Mega Heracross,
284,Sneasel,
285,Weavile,
286,Teddiursa,
287,Ursaring,
288,Slugma,
289,Magcargo,
290,Swinub,Thick Fat
291,Piloswine,Thick Fat
292,Mamoswine,Thick Fat
293,Corsola,
294,Remoraid,
295,Octillery,
296,Delibird,
297,Mantyke,Water Absorb
298,Mantine,Water Absorb
299,Skarmory,
300,Houndour,Flash Fire
301,Houndoom,Flash Fire
302,Mega Houndoom,
303,Phanpy,
304,Donphan,
305,Stantler,Sap Sipper
306,Smeargle,
307,Miltank,Sap Sipper
311,Larvitar,
312,Pupitar,
313,Tyranitar,
314,Mega Tyranitar,
315,Lugia,
316,Ho-Oh,
317,Celebi,
318,Treecko,
319,Grovyle,
320,Sceptile,
321,Mega Sceptile,Lightning Rod
322,Torchic,
323,Combusken,
324,Blaziken,
325,Mega Blaziken,
326,Mudkip,
327,Marshtomp,
328,Swampert,
329,Mega Swampert,
330,Poochyena,
331,Mightyena,
332,Zigzagoon,
333,Linoone,
334,Wurmple,
335,Silcoon,
336,Beautifly,
337,Cascoon,
338,Dustox,
339,Lotad,
340,Lombre,
341,Ludicolo,
342,Seedot,
343,Nuzleaf,
344,Shiftry,
345,Taillow,
346,Swellow,
347,Wingull,
348,Pelipper,
349,Ralts,
350,Kirlia,
351,Gardevoir,
352,Mega Gardevoir,
353,Gallade,
354,Mega Gallade,
355,Surskit,
356,Masquerain,
357,Shroomish,
358,Breloom,
359,Slakoth,
360,Vigoroth,
361,Slaking,
362,Nincada,
363,Ninjask,
364,Shedinja,Wonder Guard
365,Whismur,
366,Loudred,
367,Exploud,
368,Makuhita,Thick Fat
369,Hariyama,Thick Fat
370,Nosepass,
371,Probopass,
372,Skitty,
373,Delcatty,
374,Sableye,
375,Mega Sableye,
376,Mawile,
377,Mega Mawile,
378,Aron,
379,Lairon,
380,Aggron,
381,Mega Aggron,
382,Meditite,
383,Medicham,
384,Mega Medicham,
385,Electrike,Lightning Rod
386,Manectric,Lightning Rod
387,Mega Manectric,
388,Plusle,
389,Minun,
390,Volbeat,
391,Illumise,
392,Budew,
393,Roselia,
394,Roserade,
395,Gulpin,
396,Swalot,
397,Carvanha,
398,Sharpedo,
399,Mega Sharpedo,
400,Wailmer,
401,Wailord,
402,Numel,
403,Camerupt,
404,Mega Camerupt,
405,Torkoal,
406,Spoink,Thick Fat
407,Grumpig,Thick Fat
408,Spinda,
409,Trapinch,
410,Vibrava,Levitate
411,Flygon,Levitate
412,Cacnea,Water Absorb
413,Cacturne,Water Absorb
414,Swablu,
415,Altaria,
416,Mega Altaria,
417,Zangoose,
418,Seviper,
419,Lunatone,Levitate
420,Solrock,Levitate
421,Barboach,
422,Whiscash,
423,Corphish,
424,Crawdaunt,
425,Baltoy,Levitate
426,Claydol,Levitate
427,Lileep,Storm Drain
428,Cradily,Storm Drain
429,Anorith,
430,Armaldo,
431,Feebas,
432,Milotic,
433,Castform,
437,Kecleon,
438,Shuppet,
439,Banette,
440,Mega Banette,
441,Duskull,Levitate
442,Dusclops,
443,Dusknoir,
444,Tropius,
445,Chingling,Levitate
446,Chimecho,Levitate
447,Absol,
448,Mega Absol,
449,Snorunt,
450,Glalie,
451,Mega Glalie,
452,Froslass,
453,Spheal,Thick Fat
454,Sealeo,Thick Fat
455,Walrein,Thick Fat
456,Clamperl,
457,Huntail,
458,Gorebyss,
459,Relicanth,
460,Luvdisc,
461,Bagon,
462,Shelgon,
463,Salamence,
464,Mega Salamence,
465,Beldum,
466,Metang,
467,Metagross,
468,Mega Metagross,
469,Regirock,
470,Regice,
471,Registeel,
472,Latias,Levitate
473,Mega Latias,Levitate
474,Latios,Levitate
475,Mega Latios,Levitate
476,Kyogre,
477,Primal Kyogre,
478,Groudon,
479,Primal Groudon,
480,Rayquaza,
481,Mega Rayquaza,
482,Jirachi,
483,Deoxys,
487,Turtwig,
488,Grotle,
489,Torterra,
490,Chimchar,
491,Monferno,
492,Infernape,
493,Piplup,
494,Prinplup,
495,Empoleon,
496,Starly,
497,Staravia,
498,Staraptor,
499,Bidoof,
500,Bibarel,
501,Kricketot,
502,Kricketune,
503,Shinx,
504,Luxio,
505,Luxray,
506,Cranidos,
507,Rampardos,
508,Shieldon,
509,Bastiodon,
510,Burmy,
513,Wormadam,
516,Mothim,
517,Combee,
518,Vespiquen,
519,Pachirisu,Volt Absorb
520,Buizel,
521,Floatzel,
522,Cherubi,
523,Cherrim,
525,Shellos,Storm Drain
527,Gastrodon,Storm Drain
529,Drifloon,
530,Drifblim,
531,Buneary,
532,Lopunny,
533,Mega Lopunny,
534,Glameow,
535,Purugly,Thick Fat
536,Stunky,
537,Skuntank,
538,Bronzor,Heatproof
539,Bronzong,Heatproof
540,Chatot,
541,Spiritomb,
542,Gible,
543,Gabite,
544,Garchomp,
545,Mega Garchomp,
546,Riolu,
547,Lucario,
548,Mega Lucario,
549,Hippopotas,
550,Hippowdon,
551,Skorupi,
552,Drapion,
553,Croagunk,
554,Toxicroak,
555,Carnivine,Levitate
556,Finneon,Storm Drain
557,Lumineon,Storm Drain
558,Snover,
559,Abomasnow,
560,Mega Abomasnow,
561,Rotom,Levitate
562,Heat Rotom,Levitate
563,Wash Rotom,Levitate
564,Frost Rotom,Levitate
565,Fan Rotom,Levitate
566,Mow Rotom,Levitate
567,Uxie,Levitate
568,Mesprit,Levitate
569,Azelf,Levitate
570,Dialga,
571,Palkia,
572,Heatran,Flash Fire
573,Regigigas,
574,Giratina (Altered Forme),
575,Giratina (Origin Forme),Levitate
576,Cresselia,Levitate
577,Phione,
578,Manaphy,
579,Darkrai,
580,Shaymin,
582,Arceus,
583,Victini,
584,Snivy,
585,Servine,
586,Serperior,
587,Tepig,Thick Fat
588,Pignite,Thick Fat
589,Emboar,
590,Oshawott,
591,Dewott,
592,Samurott,
593,Patrat,
594,Watchog,
595,Lillipup,
596,Herdier,
597,Stoutland,
598,Purrloin,
599,Liepard,
600,Pansage,
601,Simisage,
602,Pansear,
603,Simisear,
604,Panpour,
605,Simipour,
606,Munna,
607,Musharna,
608,Pidove,
609,Tranquill,
610,Unfezant,
611,Blitzle,Sap Sipper
612,Zebstrika,Sap Sipper
613,Roggenrola,
614,Boldore,
615,Gigalith,
616,Woobat,
617,Swoobat,
618,Drilbur,
619,Excadrill,
620,Audino,
621,Mega Audino,
622,Timburr,
623,Gurdurr,
624,Conkeldurr,
625,Tympole,Water Absorb
626,Palpitoad,Water Absorb
627,Seismitoad,Water Absorb
628,Throh,
629,Sawk,
630,Sewaddle,
631,Swadloon,
632,Leavanny,
636,Cottonee,
637,Whimsicott,
638,Petilil,
639,Lilligant,
640,Basculin,
642,Sandile,
643,Krokorok,
644,Krookodile,
645,Darumaka,
646,Darmanitan,
648,Maractus,Storm Drain
649,Dwebble,
650,Crustle,
651,Scraggy,
652,Scrafty,
653,Sigilyph,
654,Yamask,
655,Cofagrigus,
656,Tirtouga,Solid Rock
657,Carracosta,Solid Rock
658,Archen,
659,Archeops,
660,Trubbish,
661,Garbodor,
662,Zorua,
663,Zoroark,
664,Minccino,
665,Cinccino,
666,Gothita,
667,Gothorita,
668,Gothitelle,
669,Solosis,
670,Duosion,
671,Reuniclus,
672,Ducklett,
673,Swanna,
674,Vanillite,
675,Vanillish,
676,Vanilluxe,
677,Deerling,Sap Sipper
681,Sawsbuck,Sap Sipper
685,Emolga,Motor Drive
686,Karrablast,
687,Escavalier,
688,Foongus,
689,Amoonguss,
690,Frillish,Water Absorb
691,Jellicent,Water Absorb
692,Alomomola,
693,Joltik,
694,Galvantula,
695,Ferroseed,
696,Ferrothorn,
697,Klink,
698,Klang,
699,Klinklang,
700,Tynamo,Levitate
701,Eelektrik,Levitate
702,Eelektross,Levitate
703,Elgyem,
704,Beheeyem,
705,Venusa,Flash Fire
708,Axew,
709,Fraxure,
710,Haxorus,
711,Cubchoo,
712,Beartic,
713,Cryogonal,Levitate
714,Shelmet,
715,Accelgor,
716,Stunfisk,
717,Mienfoo,
718,Mienshao,
719,Druddigon,
720,Golett,
721,Golurk,
722,Pawniard,
723,Bisharp,
724,Bouffalant,Sap Sipper
725,Rufflet,
726,Braviary,
727,Vullaby,
728,Mandibuzz,
729,Heatmor,Flash Fire
730,Durant,
731,Deino,
732,Zweilous,
733,Hydreigon,Levitate
734,Larvesta,
735,Volcarona,
736,Cobalion,
737,Terrakion,
738,Virizion,
739,Tornadus,
741,Thundurus (Therian Forme),
742,Thundurus,Volt Absorb
743,Reshiram,
744,Zekrom,
745,Landorus,
747,Kyurem,
748,Black Kyurem,
749,White Kyurem,
750,Keldeo,
752,Meloetta,
754,Genesect,
755,Chespin,
756,Quilladin,
757,Chesnaught,
758,Fennekin,
759,Braixen,
760,Delphox,
761,Froakie,
762,Frogadier,
763,Greninja,
764,Ash-Greninja,
765,Bunnelby,
766,Diggersby,
767,Fletchling,
768,Fletchinder,
769,Talonflame,
770,Scatterbug,
771,Spewpa,
772,Vivillon,
773,Litleo,
774,Pyroar,
775,Flabébé,
776,Floette,
777,Eternal Floette,
778,Florges,
779,Skiddo,Sap Sipper
780,Gogoat,Sap Sipper
781,Pancham,
782,Pangoro,
783,Furfrou,
784,Espurr,
785,Meowstic  ♂,
786,Meowstic  ♀,
787,Honedge,
788,Doublade,
789,Aegislash,
791,Spritzee,
792,Aromatisse,
793,Swirlix,
794,Slurpuff,
795,Inkay,
796,Malamar,
797,Binacle,
798,Barbaracle,
799,Skrelp,
800,Dragalge,
801,Clauncher,
802,Clawitzer,
803,Helioptile,
804,Heliolisk,
805,Tyrunt,
806,Tyrantrum,
807,Amaura,
808,Aurorus,
809,Hawlucha,
810,Dedenne,
811,Carbink,
812,Goomy,Sap Sipper
813,Sliggoo,Sap Sipper
814,Goodra,Sap Sipper
815,Klefki,
816,Phantump,
817,Trevenant,
818,Pumpkaboo,
819,Gourgeist,
820,Bergmite,
821,Avalugg,
822,Noibat,
823,Noivern,
824,Xerneas,
825,Yveltal,
826,Zygarde,
827,Zygarde 10% Forme,
828,Zygarde Complete Forme,
829,Diancie,
830,Mega Diancie,
831,Hoopa Confined,
832,Hoopa Unbound,
833,Volcanion,Water Absorb
834,Rowlet,
835,Dartrix,
836,Decidueye,
837,Litten,
838,Torracat,
839,Incineroar,
840,Popplio,
841,Brionne,
842,Primarina,
843,Pikipek,
844,Trumbeak,
845,Toucannon,
846,Yungoos,
847,Gumshoos,
848,Grubbin,
849,Charjabug,
850,Vikavolt,Levitate
851,Crabrawler,
852,Crabominable,
853,Oricorio,
854,Cutiefly,
855,Ribombee,
856,Rockruff,
857,Special Rockruff,
858,Midday Form Lycanroc,
859,Midnight Form Lycanroc,
860,Dusk Form Lycanroc,
861,Wishiwashi,
862,Mareanie,
863,Toxapex,
864,Mudbray,
865,Mudsdale,
866,Dewpider,Water Absorb
867,Araquanid,Water Absorb
868,Fomantis,
869,Lurantis,
870,Morelull,
871,Shiinotic,
872,Salandit,
873,Salazzle,
874,Stufful,Fluffy
875,Bewear,Fluffy
876,Bounsweet,
877,Steenee,
878,Tsareena,
879,Comfey,
880,Oranguru,
881,Passimian,
882,Wimpod,
883,Golisopod,
884,Sandygast,
885,Palossand,
886,Pyukumuku,
887,Type: Null,
888,Silvally,
889,Minior,
890,Komala,
891,Turtonator,
892,Togedemaru,Lightning Rod
893,Mimikyu,
894,Bruxish,
895,Drampa,Sap Sipper
896,Dhelmise,
897,Jangmo-o,
898,Hakamo-o,
899,Kommo-o,
900,Tapu Koko,
901,Tapu Lele,
902,Tapu Bulu,
903,Tapu Fini,
904,Cosmog,
905,Cosmoem,
906,Solgaleo,
907,Lunala,
908,Nihilego,
909,Buzzwole,
910,Pheromosa,
911,Xurkitree,
912,Celesteela,
913,Kartana,
914,Guzzlord,
915,Necrozma,Prism Armor
916,Dusk Mane Necrozma,Prism Armor
917,Dawn Wings Necrozma,Prism Armor
918,Ultra Necrozma,
919,Magearna,
920,Marshadow,
921,Poipole,
922,Naganadel,
923,Stakataka,
924,Blacephalon,
925,Zeraora,Volt Absorb
